subject,channel,phase,n_clusters,cluster_id,start_pct,end_pct,peak_t,p_corrected,dz_mean_in_cluster,T,alpha,h0reject
kaneishi,grf_x,stance,4,1,0.0,6.0,6.852234010741539,0.004732529882270686,-1.6394744090532678,101,0.05,True
kaneishi,grf_x,stance,4,2,19.0,44.0,10.545193595671188,0.0,2.3492015611836186,101,0.05,True
kaneishi,grf_x,stance,4,3,91.0,97.0,8.10029884681695,0.0011069184517940034,-1.9668952600351397,101,0.05,True
kaneishi,grf_x,stance,4,4,99.0,100.0,5.095650568826053,0.04020008297203481,-1.4515311761285825,101,0.05,True
