subject,channel,phase,n_clusters,cluster_id,start_pct,end_pct,peak_t,p_corrected,dz_mean_in_cluster,T,alpha,h0reject
kaneishi,grt_x,stance,4,1,17.0,20.0,4.909248927042574,0.013967274711120359,1.394933449509958,101,0.05,True
kaneishi,grt_x,stance,4,2,43.0,43.0,4.355619336586013,0.04654638154759905,1.313268642642956,101,0.05,True
kaneishi,grt_x,stance,4,3,46.0,51.0,4.645011499681674,0.0024541117317109507,1.3683134957553822,101,0.05,True
kaneishi,grt_x,stance,4,4,58.0,58.0,4.393854705650856,0.046328780479749865,1.3247970401801246,101,0.05,True
