subject,channel,phase,n_clusters,cluster_id,start_pct,end_pct,peak_t,p_corrected,dz_mean_in_cluster,T,alpha,h0reject
kaneishi,grf_y,stance,6,1,3.0,4.0,6.235721337085298,0.028852994732865955,1.8001382724216124,101,0.05,True
kaneishi,grf_y,stance,6,2,12.0,21.0,6.291693768800692,1.770604254325292e-07,1.6030433493604714,101,0.05,True
kaneishi,grf_y,stance,6,3,23.0,25.0,5.002328237607985,0.011065307977468075,1.4643151391754003,101,0.05,True
kaneishi,grf_y,stance,6,4,43.0,43.0,4.55513151660483,0.0489722642348378,1.3734238283000704,101,0.05,True
kaneishi,grf_y,stance,6,5,45.0,50.0,5.070347369419413,0.0006036507900595289,1.4650404453811268,101,0.05,True
kaneishi,grf_y,stance,6,6,86.0,100.0,16.344332078587374,1.1761702722878908e-12,2.9958774022631744,101,0.05,True
