subject,channel,phase,n_clusters,cluster_id,start_pct,end_pct,peak_t,p_corrected,dz_mean_in_cluster,T,alpha,h0reject
kaneishi,grf_y,stance,5,1,16.0,21.0,6.176481918800666,0.00223209665845725,1.6740965553462666,101,0.05,True
kaneishi,grf_y,stance,5,2,44.0,44.0,4.330254263396679,0.04996982676394435,1.3056207853203268,101,0.05,True
kaneishi,grf_y,stance,5,3,47.0,52.0,4.642435338434496,0.0033562451817659156,1.3462780280253384,101,0.05,True
kaneishi,grf_y,stance,5,4,54.0,57.0,4.403876156070322,0.018403182948963703,1.3201442992019383,101,0.05,True
kaneishi,grf_y,stance,5,5,61.0,61.0,4.327662852939949,0.04999983837505417,1.3048394456691648,101,0.05,True
