subject,channel,phase,n_clusters,cluster_id,start_pct,end_pct,peak_t,p_corrected,dz_mean_in_cluster,T,alpha,h0reject
kanoga,grt_x,swing,6,1,0.0,12.0,13.021991380699669,0.0,3.033972120801584,101,0.05,True
kanoga,grt_x,swing,6,2,37.0,42.0,5.920790199039353,1.0561349572668632e-09,-1.7348620945393014,101,0.05,True
kanoga,grt_x,swing,6,3,48.0,48.0,5.79621961978533,0.014251890655684996,-1.832925581707828,101,0.05,True
kanoga,grt_x,swing,6,4,51.0,51.0,5.338938470269724,0.035802010895650715,-1.6883205853548933,101,0.05,True
kanoga,grt_x,swing,6,5,62.0,68.0,8.140889686535504,4.0478731477833207e-13,-1.8651260537517491,101,0.05,True
kanoga,grt_x,swing,6,6,98.0,98.0,5.654612939510946,0.04818823182319698,1.7881456175517418,101,0.05,True
