subject,channel,phase,n_clusters,cluster_id,start_pct,end_pct,peak_t,p_corrected,dz_mean_in_cluster,T,alpha,h0reject,mean_abs_dz
kanoga,grt_x,swing,3,1,1.0,13.0,15.224224259758024,0.0,2.93309078376782,101,0.05,True,0.939643925323325
kanoga,grt_x,swing,3,2,15.0,17.0,6.165627745764716,7.568390182965956e-05,1.7811909410917817,101,0.05,True,0.939643925323325
kanoga,grt_x,swing,3,3,19.0,20.0,6.595792497053797,0.0006894742465428649,1.985627510718757,101,0.05,True,0.939643925323325
