,acc_x_mean,acc_x_std,acc_x_max,acc_x_rms,acc_x_min,acc_x_abs_sum,acc_y_mean,acc_y_std,acc_y_max,acc_y_rms,acc_y_min,acc_y_abs_sum,acc_z_mean,acc_z_std,acc_z_max,acc_z_rms,acc_z_min,acc_z_abs_sum,gyro_x_mean,gyro_x_std,gyro_x_max,gyro_x_rms,gyro_x_min,gyro_x_abs_sum,gyro_y_mean,gyro_y_std,gyro_y_max,gyro_y_rms,gyro_y_min,gyro_y_abs_sum,gyro_z_mean,gyro_z_std,gyro_z_max,gyro_z_rms,gyro_z_min,gyro_z_abs_sum,quat_w_mean,quat_w_std,quat_w_max,quat_w_rms,quat_w_min,quat_w_abs_sum,quat_x_mean,quat_x_std,quat_x_max,quat_x_rms,quat_x_min,quat_x_abs_sum,quat_y_mean,quat_y_std,quat_y_max,quat_y_rms,quat_y_min,quat_y_abs_sum,quat_z_mean,quat_z_std,quat_z_max,quat_z_rms,quat_z_min,quat_z_abs_sum,encoder_angle_mean,encoder_angle_std,encoder_angle_max,encoder_angle_rms,encoder_angle_min,encoder_angle_abs_sum,grf_x_mean,grf_x_std,grf_x_max,grf_x_rms,grf_x_min,grf_x_abs_sum,grf_y_mean,grf_y_std,grf_y_max,grf_y_rms,grf_y_min,grf_y_abs_sum,grf_z_mean,grf_z_std,grf_z_max,grf_z_rms,grf_z_min,grf_z_abs_sum,grt_x_mean,grt_x_std,grt_x_max,grt_x_rms,grt_x_min,grt_x_abs_sum,grt_y_mean,grt_y_std,grt_y_max,grt_y_rms,grt_y_min,grt_y_abs_sum,grt_z_mean,grt_z_std,grt_z_max,grt_z_rms,grt_z_min,grt_z_abs_sum
acc_x_mean,1.0,-0.23599128339094042,0.3086338996734872,-0.15077146140186085,0.4859370382123744,-0.06880436498984482,0.9542219475124581,-0.23365567786489852,0.22888240022165127,-0.1586529581037149,0.4531191608541905,-0.07882921210176982,-0.6125676180482564,-0.15220500355851257,-0.2205283371270195,-0.019504638727284144,0.029641402508439735,0.09029200461353942,0.1451322660939389,-0.23914481770988852,-0.08099985933539117,-0.18187157739089366,0.21893418608233953,-0.16693922020102678,0.3999982419597886,-0.18499766699092637,0.22469973288461292,0.141831570997422,0.41589032816844435,0.15017198422749886,0.16842745931560346,-0.1049099538960639,0.059000577712385004,0.1292200926841134,0.2211290215193374,0.13850708788345267,-0.6973645231202547,0.11112412935088796,-0.6298890931022296,-0.6976200224532345,-0.5812167754196295,-0.6973645231202558,0.4721823550802578,0.20078218570056752,0.4107448026942661,-0.47212402008386256,0.4058527316569685,-0.4721823550802609,0.6360408643904238,0.12041404142460187,0.5216106803531563,0.6354800104518187,0.582120089336664,0.6360408643904231,0.3238284310563048,-0.06363788668959156,0.26277759304763837,0.32363327244178514,0.3285648953348793,0.3238284310563075,0.16406830279199283,-0.3495506049996816,0.019812675359340188,0.12103941484649716,0.3905544085347105,0.16406830279199275,-0.028268130578965125,-0.11161745705013579,-0.0861157576342378,0.051682221515740534,0.045378524119327274,0.06472209044685469,0.03991577218414622,-0.0861641373406968,-0.0047166780663054275,0.026886820549122524,0.08098716797981396,0.03444684637371478,-0.06502808467502617,-0.30492537366649236,-0.15602868648914192,-0.03876046204002813,0.012482518679254515,-0.022092725170854415,-0.0012147282829506007,-0.2843902454108914,-0.12084618453725361,-0.05916985170605616,0.10549153227082823,-0.03452512081607433,-0.05219376237400039,-0.11477903379460282,-0.146425241418716,-0.01438752712024483,0.009587255493740416,-0.004230425222109493,-0.0020769818936750375,-0.09985384826685362,-0.06317285588811195,-0.0289493272411534,0.0329263920159679,-0.01738901476118929
acc_x_std,-0.23599128339094042,1.0,0.7130986797730825,0.8746217979086731,-0.9079306241706684,0.7776676345556257,-0.21427461620680763,0.9475724937430556,0.6857515100811872,0.7661094739681644,-0.8984854854270917,0.5789629342168389,0.5562394491243091,0.769344923714445,0.7480353453830353,0.736361040825123,-0.7211893345369585,0.7005531509003501,0.12142698981099169,0.3123478594468915,0.45295882288404804,0.24689980784988205,-0.09782206627485884,0.20464789228202485,0.2254154128032064,0.07524093254076765,0.2019069978258403,0.05945843792972552,0.0765598110053697,0.08048125206101091,-0.014487742712310583,0.36937627220820357,0.39823481712449316,0.21405115717043005,-0.21055063725289216,0.1802696945321992,0.12081639764986263,0.08798414338104839,0.13285981627702756,0.12159482515617454,0.041836626651539185,0.12081639764986296,-0.1531320465197086,0.15789192578662875,-0.0826395091755958,0.1533389938360366,-0.20510816305414534,0.15313204651970896,-0.08601114883596879,0.09348950590050371,-0.009748978607607565,-0.08547519811944995,-0.10779478766699994,-0.08601114883596853,-0.11761863533943659,0.3345381551833836,-0.04555672756113804,-0.11725165206181665,-0.18648235302144384,-0.11761863533943834,0.2947833244699019,0.48874960631046804,0.42704722251435245,0.33778040608746185,0.1031377072128225,0.29478332446990196,-0.018965214471321722,0.36244896965497697,0.2369417124310822,-0.08006940047139004,-0.13607307619459183,-0.10957161846571226,-0.2305548968935656,0.18526901846293817,-0.13252795241205864,0.06838227213760069,-0.4002406909823091,0.045621413997552276,0.13193974907226305,0.5152500924336223,0.273466196646895,0.15700599671239376,-0.02008210620011786,0.13314667913238232,-0.3239130709291549,0.16871832535316808,-0.1690628400219625,-0.23353237765135682,-0.559990459299753,-0.2629240729905542,0.16498899763847796,0.2452889126154681,0.3711456863708855,-0.08327640984323015,-0.027129652703773346,-0.11557245290249155,0.025603473140746492,0.10942296648343602,0.08332062617453238,0.060651653305203355,-0.05530299549201034,0.04929932290230257
acc_x_max,0.3086338996734872,0.7130986797730825,1.0,0.6442523281285136,-0.48730738000038015,0.5715162515692733,0.33214405526513113,0.7343844211996058,0.8968766864585062,0.6113961998718925,-0.5124884460987342,0.45795259752209405,0.3047581804205735,0.81129898790988,0.7342506101478219,0.8574986933502705,-0.8566011781624514,0.8755490465510342,0.11533309566484712,0.2788935787080665,0.42607480596097963,0.22553596027310382,-0.07332279520257103,0.1994571264871131,0.36188017304709924,0.05002742573068723,0.2901248659404759,0.1219716641536159,0.19706079384938088,0.1426370104259298,-0.04009894620287542,0.22998863221354288,0.28492956543984327,0.2546556395070937,-0.15411462168745246,0.23394009703622942,-0.3079147990525215,0.12197690607201807,-0.27098823790383464,-0.30777775071819136,-0.31167467032915136,-0.30791479905252167,0.14943608367990555,0.2532344188344623,0.18422881073738603,-0.14923238294470662,0.058526595356002506,-0.14943608367990857,0.3095514278619334,0.12547277637587767,0.30682397555853685,0.3094672853270878,0.27836622253811855,0.3095514278619339,0.09004122329908419,0.2866054009946367,0.12181395105527427,0.09027830196144393,0.022440841914864597,0.09004122329908446,0.40089194969659897,0.11493235856472403,0.3754553234455508,0.39297211889916284,0.3881864563028003,0.40089194969659947,-0.01847623448197535,0.205468184844377,0.09876885808179349,-0.025846587094680698,-0.09204569800813914,-0.031114766994635994,-0.20203440958762384,0.0668447496575078,-0.1581824798436643,0.1810109330428608,-0.31852579514937823,0.17040476537046906,0.017128337214054826,0.39339846919543037,0.11628016445186118,0.0607691813472229,-0.11667360302374065,0.04016911775874593,-0.3184698255371276,-0.07891343201456932,-0.25778149921663807,-0.2521663775515016,-0.46591140418345406,-0.25930780883672744,0.13835302173275016,0.07415281922137351,0.23939769900618396,-0.09528395996351267,0.03826483030896964,-0.10955986189943974,-0.08235668207373548,0.037858911893992396,-0.02303545726317035,-0.05067441291087208,-0.14305432513352997,-0.06123641346404745
acc_x_rms,-0.15077146140186085,0.8746217979086731,0.6442523281285136,1.0,-0.7609359202192504,0.9706922707829592,-0.1256645533064561,0.8155338856962149,0.6031299174741176,0.9240833518881703,-0.741757259075342,0.851908461110124,0.2948467130002114,0.6591824421623258,0.6046968780900419,0.6976400272949754,-0.6422006978283826,0.7465806071753652,0.2224200687286367,0.3309234071194041,0.46796446477971404,0.33668707437375145,-0.07640664805339054,0.3066285919723772,0.32610915618730874,0.19168085861636364,0.3806248584169631,0.24941361070175638,0.12146468676913419,0.2656292474563748,0.11374805363980232,0.6936380938638489,0.6551324421034629,0.4510004021184487,-0.3196902012052065,0.39811989023408184,-0.05155036728363422,0.2414682452163461,0.037139351490883404,-0.05021312375541869,-0.14322884800653235,-0.051550367283634366,0.0438960840815676,0.2879520719080938,0.10550034716529512,-0.043631534788457584,-0.04407352484201734,-0.043896084081570266,0.09774179564033729,0.24978456332509177,0.18826550651263632,0.09865281455866191,0.004001931373945026,0.09774179564033753,-0.006120956592380664,0.36587712269222605,0.057899045861673534,-0.005742915538271859,-0.08969985826103104,-0.0061209565923797836,0.5154728081567664,0.6674998805512762,0.6735649435619675,0.5644953515430942,0.27340417358377705,0.5154728081567673,0.029903836345651996,0.12390146612077108,0.1580301625514156,-0.20590897584024806,-0.003232720789810991,-0.21310297701927686,-0.40348785505386847,-0.09366535562313096,-0.34534768780030706,0.07031219857676264,-0.48014841192853147,0.08170285481496516,-0.16845319424660776,0.27063163173461663,-0.047710465447225424,-0.13147108594862572,-0.2729481056872723,-0.148122586029796,-0.5595761628891738,-0.08292405601466835,-0.4282775750358191,-0.4921008971529153,-0.6863029707271155,-0.5139930305826537,0.377854314634835,-0.012819160175101747,0.5097215133942513,-0.29897842826429694,0.2278367855323501,-0.3201102140255527,-0.19827319145545808,-0.1660714997164012,-0.18028481253324286,-0.1875824306317721,-0.16734556519445912,-0.18906133584491577
acc_x_min,0.4859370382123744,-0.9079306241706684,-0.48730738000038015,-0.7609359202192504,1.0,-0.6183927404686289,0.4460447443111011,-0.8672255773147233,-0.5236557843815426,-0.6685111965980769,0.9398310682506392,-0.45366793609402845,-0.7209761419572012,-0.7303559207461339,-0.7561559208929478,-0.6566842760901656,0.6152765601187608,-0.565489718207024,-0.0549330575171173,-0.2977587003965098,-0.41026841222470556,-0.22452903895466161,0.1300207052989819,-0.177877565632071,0.005063213787442748,-0.10522960228735098,-0.03340573337446567,0.024143945667344336,0.12934277117688006,0.012875031414901277,0.15330735949576968,-0.31603692130414557,-0.2757337053896425,-0.10551517778249186,0.29211193864572976,-0.07908396341707057,-0.2841086683412682,0.0014846906445275605,-0.2488690568860773,-0.28412471713632886,-0.19865513551003636,-0.28410866834126874,0.2523662651322168,-0.057218217723510566,0.17752654285205471,-0.2524708773740712,0.26630004027747944,-0.25236626513221977,0.27127344650237295,-0.018329617673438322,0.1773882725679117,0.27101748805157755,0.2560894022154536,0.27127344650237245,0.15181443392701766,-0.2534760382689546,0.0873875397645326,0.15151986707929282,0.20415431128323686,0.15181443392702004,-0.19360047674059877,-0.46693262673827995,-0.3301501795078276,-0.2381487931435552,0.017397649481552233,-0.1936004767405988,-0.024644864250770716,-0.31264588473355154,-0.2655323925473744,0.08534651448535674,0.0875768385054387,0.11318198581286085,0.22186509522511552,-0.1705779538028676,0.12935457623043964,-0.04921162623450069,0.3985225281052431,-0.03121060613707265,-0.11114600287036734,-0.5304644057443725,-0.2752244666092466,-0.11779800910890342,0.028797653798865244,-0.0930969318823775,0.2618887876991562,-0.22855175287689103,0.09909510684777824,0.16711042706933107,0.5213286265214617,0.20148508698658843,-0.18553966242054948,-0.19581991650809008,-0.38700299891774903,0.09823679880454139,-0.012616130875005155,0.12549127449786984,-0.03741240151348226,-0.09812323551459626,-0.09383047995540587,-0.06037618187045226,0.02053106396649275,-0.04818201023792981
acc_x_abs_sum,-0.06880436498984482,0.7776676345556257,0.5715162515692733,0.9706922707829592,-0.6183927404686289,1.0,-0.06336431445475456,0.7086695921869055,0.5137686519629843,0.8969135467619345,-0.6192251744341803,0.8893799849241606,0.1186027227329659,0.5200397594062579,0.4498323195861501,0.580336750773815,-0.5380911647513593,0.666898422704949,0.266771304053042,0.3039188093287842,0.4370262345553571,0.3345690550739417,-0.044888018581073615,0.31219555562851564,0.4053779603183503,0.18456125138285207,0.455887738846488,0.28922667787769446,0.20724328269713804,0.30432605565937104,0.21016493198145295,0.7358729917572585,0.7091108770863876,0.49150079040419664,-0.27191523424454656,0.43709093222858136,-0.1059961361691533,0.2790703079473559,0.0022122534138833056,-0.10435338091983135,-0.19368181771935056,-0.10599613616915364,0.10126298937973922,0.31880976267239747,0.1532551498193165,-0.10098645902460504,0.007793435272425686,-0.10126298937974253,0.1565694695929671,0.2821266216178635,0.24040837046636498,0.15761870294967043,0.0439439678175877,0.15656946959296733,0.023872410718620035,0.3777934790832423,0.08853380750786108,0.024259670868226953,-0.05945073706564905,0.023872410718621336,0.5307572293114872,0.7026625161200205,0.6970726925102019,0.5818131701947175,0.27949518295362646,0.5307572293114872,0.026587711880302532,0.09720429802734896,0.1350008544553778,-0.20743438581452675,0.009776270486839884,-0.2119253171224163,-0.4108215826639897,-0.13894804836653682,-0.3592577213621338,0.04233596387880875,-0.4509302061088549,0.057953315114959596,-0.19677480436063385,0.1445552033408392,-0.11266114141648069,-0.15800085490121402,-0.27667625714006444,-0.1683183707699767,-0.575335305853942,-0.1384253462813764,-0.45873092254325554,-0.5242763922552125,-0.6465876033104522,-0.5407980322287914,0.3807053460211664,-0.04045543554201798,0.489240612151179,-0.30999860316728073,0.24306479358237398,-0.32948215279943543,-0.22552747426896044,-0.20256617677163197,-0.2194516545600259,-0.21648640519291626,-0.18310380895049702,-0.2142163129433771
acc_y_mean,0.9542219475124581,-0.21427461620680763,0.33214405526513113,-0.1256645533064561,0.4460447443111011,-0.06336431445475456,1.0,-0.20353995760590396,0.29715392453565637,-0.0883914086011726,0.4368554369374218,-0.019378089869410652,-0.5313972453203404,-0.0745944171178623,-0.14203294647396933,0.05249903809885606,-0.03491711650087955,0.15277102823374608,0.11468564727758056,-0.21809682438768188,-0.08082325498709927,-0.1820961711553592,0.17553584058752736,-0.16999310976083026,0.27323592558404536,-0.11395105326420263,0.1662170337679698,0.11620876636902155,0.2755856326259443,0.12138878113875537,-0.008891716365406218,-0.07867847093711919,-0.020996560107044447,0.11092870903718725,0.05922187068014642,0.11498033365400154,-0.7361957474325997,0.0755550716450124,-0.6850206798966203,-0.7373038644806188,-0.6006424840688871,-0.7361957474326005,0.48995014036881485,0.1912014477742627,0.42273447423441934,-0.4899455857484303,0.4246748596052608,-0.4899501403688182,0.6858885485949789,0.09657101973761434,0.5525779897748284,0.6847531335377744,0.6433998118766319,0.6858885485949782,0.3203238297528696,-0.09014471463202668,0.25510481535223783,0.320075222359539,0.33194281337502135,0.32032382975287227,0.18296510357919385,-0.31517675708570003,0.058310442317834645,0.14277220586334236,0.40993196878009214,0.18296510357919413,-0.0011381593970277975,-0.15981703266061925,-0.07839168354896855,0.010169624440484207,0.0809652894081861,0.029619636546847197,-0.019724087355958382,-0.11131911260109434,-0.0580669385092616,0.015044316098648286,0.01761535711046062,0.02919747273781133,-0.10318909218077245,-0.278418537861372,-0.18083411904063132,-0.0746105323935815,-0.03700199854454182,-0.060391768500347345,-0.06457014936259205,-0.29266504086433853,-0.17054779126885222,-0.11647679001496931,0.025554908426956416,-0.09476989336558601,0.0008633623290970398,-0.15446545429253972,-0.09433313113205044,-0.06348293639688242,0.059144749852527656,-0.05373779391097093,-0.057107955677522367,-0.13753974386763057,-0.11313787701230742,-0.08033612347928944,-0.008393870654212588,-0.06913092075522125
acc_y_std,-0.23365567786489852,0.9475724937430556,0.7343844211996058,0.8155338856962149,-0.8672255773147233,0.7086695921869055,-0.20353995760590396,1.0,0.7738615904235046,0.80235639956566,-0.9166132008243298,0.5893787821034955,0.5988092331344552,0.8496374573983342,0.8196736728600256,0.8173596019957097,-0.808930503766791,0.7719714528312368,0.07348921238766888,0.40020616347191906,0.5023441882040999,0.3676415712824688,-0.15447469302657713,0.3234403369235274,0.19871066355239897,0.14540556044508263,0.21231932386088812,0.13645618485008423,-0.015195686127478436,0.15395911287832448,-0.015861703411998034,0.33545132689265067,0.3746868674497049,0.2599670016198819,-0.19443604271652126,0.23534556902240578,0.09635254576353344,0.1470818856629817,0.12668230695804591,0.09784129490588277,-0.00454664199029705,0.0963525457635337,-0.14892334805097998,0.20435751884229472,-0.0594015329959956,0.14923744212090753,-0.21266566328390357,0.14892334805098015,-0.1133075315321838,0.1472803767587822,-0.010732488673751213,-0.11204258978976384,-0.15724152798362095,-0.11330753153218347,-0.07247251702058985,0.36882864645194124,0.002337077477560328,-0.07208670816634845,-0.15114676138677707,-0.0724725170205918,0.39117007475504667,0.46229879588559475,0.4850657589259151,0.4244452571953825,0.20205330206038277,0.39117007475504695,0.008208103541404268,0.26293069891377857,0.20422134350345297,-0.1317809065713215,-0.08362896308519256,-0.14952392430881026,-0.30140856270742933,0.08318315966719095,-0.22155477120942804,0.09700385155839546,-0.4475561150394938,0.08847414201025755,0.01962409297868352,0.5050093162695698,0.17225591196917742,0.04327462670120224,-0.14207764336415085,0.017451061725153656,-0.384576737722006,0.05487224789342983,-0.2502076733464871,-0.30108528949761626,-0.5969348964698407,-0.3234867335996509,0.2518084568324057,0.13875604438355368,0.42219068517673825,-0.171011588881971,0.07415202575137057,-0.1988795301016809,-0.061036834246593986,0.04717318732100951,0.005111262175988845,-0.03102680455961068,-0.11390238236005958,-0.045486046318874464
acc_y_max,0.22888240022165127,0.6857515100811872,0.8968766864585062,0.6031299174741176,-0.5236557843815426,0.5137686519629843,0.29715392453565637,0.7738615904235046,1.0,0.650955834724365,-0.5366078867364736,0.46824275686143574,0.4038431315741472,0.8637728996838179,0.7953461657250148,0.8916866266740066,-0.9233097840785237,0.8801019003532307,0.10587834904526804,0.2820959875812677,0.4824101462751908,0.24143458558215844,-0.0653782077825623,0.1958851707992693,0.26033279534946824,0.14097829508193835,0.2444581522367642,0.14576861847634065,0.013408298106975955,0.15808314956887426,-0.1426401754559662,0.2073284986952415,0.2107274885806279,0.19530254418576906,-0.22338497193674758,0.17635331473775223,-0.28060225418915097,0.06835052328325049,-0.27156909290370157,-0.2810656228194485,-0.2737056448399478,-0.28060225418915086,0.10316362863447595,0.22561971182656934,0.14156329795833134,-0.10298040343326438,0.023116859207242994,-0.10316362863447667,0.2025072278016863,0.06645023381826642,0.19842647238080416,0.20221075790336024,0.19121635410788096,0.20250722780168653,0.1220362402549906,0.26884293025824446,0.152971268533554,0.12223856531615829,0.05960027902279254,0.12203624025498971,0.433297117533156,0.15028586394343194,0.41374497748320505,0.427565340264271,0.4012383206816992,0.4332971175331561,0.021024442774866394,0.08904552555213158,0.0965639421533631,-0.09133338316409362,-0.01599925316145957,-0.0861067819433556,-0.2930999264555014,0.01964669308504144,-0.24661322394507385,0.21582208640763248,-0.4253906864366952,0.21398498228288956,-0.06453296368256613,0.4038593836692426,0.05074853990142371,-0.03336293538619988,-0.2165084150758303,-0.05623432814086783,-0.3665249970885847,-0.0873266508864732,-0.2991579681188346,-0.2978473880387084,-0.549529810329348,-0.306514623933875,0.22397237170878537,-0.004944777958744623,0.30750596962782745,-0.18068356026538185,0.12272674931383479,-0.1941636886552686,-0.15296578265555885,-0.0183183124704624,-0.09226172243745055,-0.12665905885011508,-0.19922609776879785,-0.13969974071959737
acc_y_rms,-0.1586529581037149,0.7661094739681644,0.6113961998718925,0.9240833518881703,-0.6685111965980769,0.8969135467619345,-0.0883914086011726,0.80235639956566,0.650955834724365,1.0,-0.6872585176600542,0.9438119851242427,0.2840719363441815,0.6936268121016911,0.6233269251237441,0.7382947179004977,-0.6858967955742501,0.7899097538001312,0.15418116908510177,0.4287203256025993,0.49505019150748597,0.4785032402580095,-0.15619173524980812,0.4476141302839596,0.2467794967778775,0.40629566835568554,0.43029136347100505,0.3589375686024872,-0.08336083167340425,0.36290941044276026,0.0674251453440071,0.736786725942524,0.636681332866122,0.5379918580082415,-0.39857183053100664,0.4911073964140312,-0.1305625886685386,0.33165517953660345,-0.01630506885939898,-0.1285612816171042,-0.2465636387520508,-0.13056258866853893,0.10867667768631106,0.3738570493256335,0.19239724208869818,-0.10829065764237875,0.0018890716439703796,-0.10867667768631385,0.13632822438369566,0.3355561221454371,0.25366021175821035,0.13790866676915106,0.008912432346359595,0.13632822438369568,0.06924792440196025,0.42199095965389843,0.14087664504021022,0.06967199118424706,-0.02706072533410169,0.0692479244019614,0.6567571200355403,0.6466081878524603,0.7760079658999253,0.6950870334751281,0.4254416060854373,0.6567571200355403,0.08991797782895863,-0.05778626049606157,0.11185405372510171,-0.29129291845116134,0.10455770469573479,-0.27822336718458907,-0.5320247853796448,-0.2771097973515477,-0.5042126765027912,0.08356699549761763,-0.5589294502172273,0.11940443935414943,-0.37340857145407585,0.17106707154972964,-0.2533355472352455,-0.3350865656241507,-0.4706211462844086,-0.3514267107208066,-0.6871222473159486,-0.26463611150064975,-0.5854368584514671,-0.6351230611751173,-0.7571896606453599,-0.6481669434077113,0.5345910558411298,-0.2069521008305169,0.6061966725239795,-0.45884063840394335,0.41511430153874257,-0.4713465378735596,-0.3535320660441014,-0.31468421879623926,-0.3417775567500593,-0.35555303170983055,-0.2592244666128498,-0.35705079532906553
