cluster_id,representative,size
1,acc_x_mean,1
2,acc_x_std,1
3,acc_x_max,1
4,acc_x_abs_sum,2
5,acc_x_min,1
6,acc_y_mean,1
7,acc_y_std,1
8,acc_y_max,1
9,acc_y_abs_sum,2
10,acc_y_min,1
11,acc_z_mean,1
12,acc_z_rms,3
13,acc_z_max,1
14,acc_z_min,1
15,gyro_x_mean,1
16,gyro_x_std,1
17,gyro_x_max,1
18,gyro_x_abs_sum,2
19,gyro_x_min,1
20,gyro_y_mean,1
21,gyro_y_std,1
22,gyro_y_max,1
23,gyro_y_abs_sum,2
24,gyro_y_min,1
25,gyro_z_mean,1
26,gyro_z_std,1
27,gyro_z_max,1
28,gyro_z_abs_sum,4
29,gyro_z_min,1
30,quat_w_mean,3
31,quat_w_std,1
32,quat_w_max,1
33,quat_w_min,1
34,quat_x_mean,2
35,quat_x_max,1
36,quat_x_abs_sum,2
37,quat_y_abs_sum,3
38,quat_y_std,1
39,quat_y_max,1
40,quat_y_min,1
41,quat_z_mean,1
42,quat_z_max,1
43,quat_z_abs_sum,2
44,quat_z_min,1
45,encoder_angle_mean,5
46,encoder_angle_std,1
47,grf_x_mean,3
48,grf_x_std,1
49,grf_x_abs_sum,2
50,grf_y_mean,1
51,grf_y_std,1
52,grf_y_max,1
53,grf_y_abs_sum,2
54,grf_y_min,1
55,grf_z_abs_sum,3
56,grf_z_std,1
57,grf_z_max,1
58,grf_z_min,1
59,grt_x_mean,1
60,grt_x_std,1
61,grt_x_max,1
62,grt_x_abs_sum,2
63,grt_x_min,1
64,grt_y_mean,1
65,grt_y_std,1
66,grt_y_max,1
67,grt_y_abs_sum,2
68,grt_y_min,1
69,grt_z_mean,1
70,grt_z_std,1
71,grt_z_max,1
72,grt_z_abs_sum,2
73,grt_z_min,1
