subject,channel,phase,n_clusters,cluster_id,start_pct,end_pct,peak_t,p_corrected,dz_mean_in_cluster,T,alpha,h0reject
kanoga,gyro_x,stance,4,1,0.0,1.0,5.8075488687977455,0.03304174858414077,-1.7352364771692732,101,0.05,True
kanoga,gyro_x,stance,4,2,53.0,55.0,5.405547187521656,0.008171647787222458,-1.6289217198190522,101,0.05,True
kanoga,gyro_x,stance,4,3,63.0,64.0,5.117805035840003,0.0230786614393792,-1.5999896758202943,101,0.05,True
kanoga,gyro_x,stance,4,4,67.0,93.0,11.673406024137542,0.0,-2.6804160135742072,101,0.05,True
