subject,channel,phase,n_clusters,cluster_id,start_pct,end_pct,peak_t,p_corrected,dz_mean_in_cluster,T,alpha,h0reject,mean_abs_dz
kanoga,grt_x,stance,5,1,2.0,2.0,4.531043764626612,0.04999681211438656,1.4328418474123983,101,0.05,True,1.4582528962306998
kanoga,grt_x,stance,5,2,14.0,48.0,8.942705516108166,0.0,2.250326097669992,101,0.05,True,1.4582528962306998
kanoga,grt_x,stance,5,3,65.0,69.0,4.6279286793048,0.007811012515630988,-1.4469645500447943,101,0.05,True,1.4582528962306998
kanoga,grt_x,stance,5,4,72.0,72.0,4.532269505954587,0.049308959639228656,-1.4332294608542568,101,0.05,True,1.4582528962306998
kanoga,grt_x,stance,5,5,74.0,74.0,4.532570969892168,0.049439056851007246,-1.4333247921217722,101,0.05,True,1.4582528962306998
