subject,channel,phase,n_clusters,cluster_id,start_pct,end_pct,peak_t,p_corrected,dz_mean_in_cluster,T,alpha,h0reject,mean_abs_dz
kanoga,gyro_y,stance,4,1,4.0,4.0,5.119683773261673,0.049202242220338865,1.6189861623324378,101,0.05,True,1.7592625881992563
kanoga,gyro_y,stance,4,2,22.0,26.0,5.525222933425965,0.002636306132709487,1.6481150918630338,101,0.05,True,1.7592625881992563
kanoga,gyro_y,stance,4,3,33.0,95.0,13.26265047578146,0.0,2.2222974932650206,101,0.05,True,1.7592625881992563
kanoga,gyro_y,stance,4,4,100.0,100.0,4.855684905700437,0.04863296462870004,1.5355023902114824,101,0.05,True,1.7592625881992563
